Publish,Status,SKU,Title,Ctn L,Ctn W,Ctn H,Ctn Qty,Quantity,Ctn Weight,Extra,Production Time,Lead Time,Type,Currency,Price,Limit Min,Limit Max,Price 1,Price 2,Price 3,Price 4,Price 5,Price 6,Qty 1,Qty 2,Qty 3,Qty 4,Qty 5,Qty 6,Category,Content Description,Image,Picture 2,Picture 3,Picture 4,Picture 5,Picture 6,Picture 7,Picture 8,Picture 9,Picture 10,Images,Image Contain
1,Open,YORKN01883,Polyester Lanyard,20,12,12,1000,100000,22.04,"{""weight"":22.04,""width"":12,""length"":20,""height"":12}",3-week,504,PHYSICAL,USD,0.72,1000,0,0.72,0.67,0.62,0.6,0.53,,1000,2000,5000,10000,50000,0,Lanyards,"Durable Polyester Lanyards/Neck Straps with Swivel Metal Oval Clasp for mobile cell phones, cameras, USB flash drives, keys, keychains, ID name tag badge holders, video game and other portable stuff.		 		 		 ",https://order.yorkn.com/Files/Products/01883_0.jpg,https://order.yorkn.com/Files/Products/01883_1.jpg,https://order.yorkn.com/Files/Products/01883_2.jpg,https://order.yorkn.com/Files/Products/01883_3.jpg,https://order.yorkn.com/Files/Products/01883_4.jpg,https://order.yorkn.com/Files/Products/01883_5.jpg,https://order.yorkn.com/Files/Products/01883_6.jpg,https://order.yorkn.com/Files/Products/01883_7.jpg,https://order.yorkn.com/Files/Products/01883_8.jpg,https://order.yorkn.com/Files/Products/01883_9.jpg,"https://order.yorkn.com/Files/Products/01883_1.jpg,https://order.yorkn.com/Files/Products/01883_2.jpg,https://order.yorkn.com/Files/Products/01883_3.jpg,https://order.yorkn.com/Files/Products/01883_4.jpg,https://order.yorkn.com/Files/Products/01883_5.jpg,https://order.yorkn.com/Files/Products/01883_6.jpg,https://order.yorkn.com/Files/Products/01883_7.jpg,https://order.yorkn.com/Files/Products/01883_8.jpg,https://order.yorkn.com/Files/Products/01883_9.jpg",FALSE
1,Open,YORKN33613,Window Mask,12,16,20,600,60000,26.45,"{""weight"":26.45,""width"":16,""length"":12,""height"":20}",3-week,504,PHYSICAL,USD,6.75,100,0,6.75,4.22,3.72,,,,100,500,1000,,,,Masks,"Designed with transparent mouth part that allows to see each other's facial expressions and lip movement, specially for people who have hearing or talking difficulties		 ",https://order.yorkn.com/Files/Products/33613_0.jpg,https://order.yorkn.com/Files/Products/33613_1.jpg,https://order.yorkn.com/Files/Products/33613_2.jpg,https://order.yorkn.com/Files/Products/33613_3.jpg,https://order.yorkn.com/Files/Products/33613_4.jpg,https://order.yorkn.com/Files/Products/33613_5.jpg,https://order.yorkn.com/Files/Products/33613_6.jpg,https://order.yorkn.com/Files/Products/33613_7.jpg,https://order.yorkn.com/Files/Products/33613_8.jpg,https://order.yorkn.com/Files/Products/33613_9.jpg,"https://order.yorkn.com/Files/Products/33613_1.jpg,https://order.yorkn.com/Files/Products/33613_2.jpg,https://order.yorkn.com/Files/Products/33613_3.jpg,https://order.yorkn.com/Files/Products/33613_4.jpg,https://order.yorkn.com/Files/Products/33613_5.jpg,https://order.yorkn.com/Files/Products/33613_6.jpg,https://order.yorkn.com/Files/Products/33613_7.jpg,https://order.yorkn.com/Files/Products/33613_8.jpg,https://order.yorkn.com/Files/Products/33613_9.jpg",FALSE
0,Close,YORKN22691,Resealable Bag For Packaging,12,16,20,2000,200000,35.26,"{""weight"":35.26,""width"":16,""length"":12,""height"":20}",4-week,672,PHYSICAL,USD,0.68,500,0,0.68,0.48,,,,,500,1000,,,,,Bags,"Three sides sealing with one side sealing strip, to better block air, moisture, keep things dry and clean; transparent front for displaying the product. Suitable for cosmetics, office supplies and other items storage.",https://order.yorkn.com/Files/Products/22691_0.jpg,https://order.yorkn.com/Files/Products/22691_1.jpg,https://order.yorkn.com/Files/Products/22691_2.jpg,https://order.yorkn.com/Files/Products/22691_3.jpg,https://order.yorkn.com/Files/Products/22691_4.jpg,https://order.yorkn.com/Files/Products/22691_5.jpg,https://order.yorkn.com/Files/Products/22691_6.jpg,https://order.yorkn.com/Files/Products/22691_7.jpg,https://order.yorkn.com/Files/Products/22691_8.jpg,https://order.yorkn.com/Files/Products/22691_9.jpg,"https://order.yorkn.com/Files/Products/22691_1.jpg,https://order.yorkn.com/Files/Products/22691_2.jpg,https://order.yorkn.com/Files/Products/22691_3.jpg,https://order.yorkn.com/Files/Products/22691_4.jpg,https://order.yorkn.com/Files/Products/22691_5.jpg,https://order.yorkn.com/Files/Products/22691_6.jpg,https://order.yorkn.com/Files/Products/22691_7.jpg,https://order.yorkn.com/Files/Products/22691_8.jpg,https://order.yorkn.com/Files/Products/22691_9.jpg",TRUE
1,Open,YORKN08295,Glow In The Dark Silicone Wristband,12,16,12,1000,100000,13.22,"{""weight"":13.22,""width"":16,""length"":12,""height"":12}",3-week,504,PHYSICAL,USD,0.82,250,0,0.82,0.45,0.42,0.33,0.3,,250,500,1000,10000,20000,,Bracelets,"It can meet your party decoration needs sharing them with your relatives, friends or customers, and wearing this rubber band together for a party or event will definitely be eye-catching. Good extensibility, suitable for most teenagers and adults. 100% high quality silicone (elastic), soft and comfortable to the touch, eco-friendly, long lasting, durable and can be used many times repeatedly, light weight, no burden on the wrist. Glow-in-the-dark silicone wristbands need to absorb light first. ",https://order.yorkn.com/Files/Products/08295_0.jpg,https://order.yorkn.com/Files/Products/08295_1.jpg,https://order.yorkn.com/Files/Products/08295_2.jpg,https://order.yorkn.com/Files/Products/08295_3.jpg,https://order.yorkn.com/Files/Products/08295_4.jpg,https://order.yorkn.com/Files/Products/08295_5.jpg,https://order.yorkn.com/Files/Products/08295_6.jpg,https://order.yorkn.com/Files/Products/08295_7.jpg,https://order.yorkn.com/Files/Products/08295_8.jpg,https://order.yorkn.com/Files/Products/08295_9.jpg,"https://order.yorkn.com/Files/Products/08295_1.jpg,https://order.yorkn.com/Files/Products/08295_2.jpg,https://order.yorkn.com/Files/Products/08295_3.jpg,https://order.yorkn.com/Files/Products/08295_4.jpg,https://order.yorkn.com/Files/Products/08295_5.jpg,https://order.yorkn.com/Files/Products/08295_6.jpg,https://order.yorkn.com/Files/Products/08295_7.jpg,https://order.yorkn.com/Files/Products/08295_8.jpg,https://order.yorkn.com/Files/Products/08295_9.jpg",FALSE
1,Open,YORKN33381,Absorbent Coaster,16,11,16,1250,125000,22.04,"{""weight"":22.04,""width"":11,""length"":16,""height"":16}",3-week,504,PHYSICAL,USD,1.47,250,0,1.47,1.02,0.65,0.5,0.33,0.25,250,500,1000,2000,10000,200000,Coasters,"High quality materials, fast water absorption, keep the table cleanAbsorbent materials: While coasters come in a wide variety of materials, from cotton to cork, some of the most absorbent choices are felt and porous stones like ceramic and sandstone. If you go with one of these materials, your coasters will be able to properly manage any condensation that runs off your glass.		 		 		 		 		 		 		 ",https://order.yorkn.com/Files/Products/33381_0.jpg,https://order.yorkn.com/Files/Products/33381_1.jpg,https://order.yorkn.com/Files/Products/33381_2.jpg,https://order.yorkn.com/Files/Products/33381_3.jpg,https://order.yorkn.com/Files/Products/33381_4.jpg,https://order.yorkn.com/Files/Products/33381_5.jpg,https://order.yorkn.com/Files/Products/33381_6.jpg,https://order.yorkn.com/Files/Products/33381_7.jpg,https://order.yorkn.com/Files/Products/33381_8.jpg,https://order.yorkn.com/Files/Products/33381_9.jpg,"https://order.yorkn.com/Files/Products/33381_1.jpg,https://order.yorkn.com/Files/Products/33381_2.jpg,https://order.yorkn.com/Files/Products/33381_3.jpg,https://order.yorkn.com/Files/Products/33381_4.jpg,https://order.yorkn.com/Files/Products/33381_5.jpg,https://order.yorkn.com/Files/Products/33381_6.jpg,https://order.yorkn.com/Files/Products/33381_7.jpg,https://order.yorkn.com/Files/Products/33381_8.jpg,https://order.yorkn.com/Files/Products/33381_9.jpg",FALSE
1,Open,YORKN33658,100% Cotton Mask,28,16,13,600,60000,26.45,"{""weight"":26.45,""width"":16,""length"":28,""height"":13}",3-week,504,PHYSICAL,USD,2.47,1000,0,2.47,2.27,,,,,1000,2000,,,,,Masks,"Protect your mouth and face from dust. Suit for all kinds of outdoors and indoors activities, such as house cleaning, gardening, skiing, subway, etc. Ideal for women and men, suitable for cycling, camping, running, travel, climbing and daily use.suitable for both mens and womens. Ideal for cycling, hiking, adventure, jogging.",https://order.yorkn.com/Files/Products/33658_0.jpg,https://order.yorkn.com/Files/Products/33658_1.jpg,https://order.yorkn.com/Files/Products/33658_2.jpg,https://order.yorkn.com/Files/Products/33658_3.jpg,https://order.yorkn.com/Files/Products/33658_4.jpg,https://order.yorkn.com/Files/Products/33658_5.jpg,https://order.yorkn.com/Files/Products/33658_6.jpg,https://order.yorkn.com/Files/Products/33658_7.jpg,https://order.yorkn.com/Files/Products/33658_8.jpg,https://order.yorkn.com/Files/Products/33658_9.jpg,"https://order.yorkn.com/Files/Products/33658_1.jpg,https://order.yorkn.com/Files/Products/33658_2.jpg,https://order.yorkn.com/Files/Products/33658_3.jpg,https://order.yorkn.com/Files/Products/33658_4.jpg,https://order.yorkn.com/Files/Products/33658_5.jpg,https://order.yorkn.com/Files/Products/33658_6.jpg,https://order.yorkn.com/Files/Products/33658_7.jpg,https://order.yorkn.com/Files/Products/33658_8.jpg,https://order.yorkn.com/Files/Products/33658_9.jpg",FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
